operation_id,employee_id,client_id,revenue,qty_sales
1,1232122,453,52740.00,57
2,1232132,295,365085.00,57
3,1232142,366,235350.00,32
4,1232152,67,86055.00,44
5,1232162,424,447840.00,38
6,1232172,228,195540.00,84
7,1232182,404,390000.00,55
8,1232192,56,288540.00,50
9,1232202,252,127530.00,92
10,1232212,688,308610.00,38
11,1232222,566,430215.00,29
12,1232232,700,419280.00,44
13,1232242,403,269760.00,23
14,1232252,340,324270.00,17
15,1232262,134,291450.00,94
16,1232272,185,142110.00,65
17,1232282,400,270375.00,83
18,1232292,78,441945.00,91
19,1232302,446,163845.00,81
20,1232312,362,69225.00,20
21,1232322,154,161010.00,11
22,1232332,655,102030.00,57
23,1232342,521,86850.00,18
24,1232352,99,75045.00,58
25,1232362,505,135240.00,38
26,1232372,151,134010.00,92
27,1232382,442,95415.00,40
28,1232392,308,197025.00,21
29,1232402,166,397125.00,92
30,1232412,646,141480.00,73
31,1232422,399,314295.00,35
32,1232432,47,203475.00,66
33,1232442,124,182910.00,68
34,1232452,281,321195.00,27
35,1232462,353,265815.00,2
36,1232472,257,242940.00,7
37,1232482,274,407355.00,40
38,1232492,510,148320.00,53
39,1232502,163,445110.00,76
40,1232512,345,430785.00,48
41,1232522,518,433515.00,76
42,1232532,681,381210.00,50
43,1232542,476,55575.00,94
44,1232552,76,106680.00,8
45,1232562,331,436575.00,2
46,1232582,132,355215.00,29
47,1232592,569,209715.00,71
48,1232602,433,319050.00,53
49,1232612,176,146805.00,39
50,1232622,665,262530.00,16
51,1232632,488,242025.00,88
52,1232642,609,362430.00,83
53,1232652,388,442890.00,69
54,1232662,554,179250.00,19
55,1232672,159,150360.00,14
56,1232673,160,274305.00,46
57,1232682,714,239730.00,73
58,1232692,263,312900.00,6
59,1232702,153,368250.00,86
60,1232712,84,132840.00,6
61,1232722,392,423660.00,40
62,1232732,226,442725.00,55
63,1232742,326,311520.00,95
64,1232752,26,177165.00,10
65,1232762,689,40950.00,85
66,1232772,533,87930.00,2
67,1232782,552,384345.00,83
68,1232792,230,228870.00,51
69,1232802,578,391665.00,26
70,1232812,355,247425.00,69
71,1232822,260,215565.00,84
72,1232832,71,381240.00,4
73,1232842,418,296820.00,23
74,1232852,599,381675.00,90
75,1232862,397,344115.00,20
76,1232872,66,416025.00,53
77,1232882,54,429675.00,71
78,1232892,467,278520.00,60
79,1232902,565,154335.00,37
80,1232912,24,137040.00,63
81,1232922,697,252465.00,88
82,1232932,428,320565.00,74
83,1232942,115,229590.00,14
84,1232952,68,436845.00,17
85,1232962,656,291195.00,60
86,1232972,461,274350.00,22
87,1232982,654,141165.00,87
88,1232992,376,330615.00,78
89,1233002,504,183525.00,82
90,1233012,32,325185.00,89
91,1233022,596,104865.00,4
92,1233032,276,24285.00,62
93,1233042,393,378120.00,4
94,1233052,279,419370.00,46
95,1233062,361,62460.00,73
96,1233072,312,156360.00,88
97,1233082,277,260880.00,78
98,1233092,677,126060.00,42
99,1233102,368,342405.00,21
100,1233112,522,52185.00,71
101,1233122,535,104595.00,13
102,1233132,408,376830.00,58
103,1233142,74,45705.00,28
104,1233152,75,243480.00,90
105,1233162,203,17325.00,34
106,1233172,19,171750.00,70
107,1233182,157,337080.00,75
108,1233192,557,158820.00,85
109,1233202,450,50280.00,61
110,1233212,601,446025.00,18
111,1233222,133,100740.00,77
112,1233232,195,160815.00,78
113,1233242,44,297045.00,64
114,1233252,683,338130.00,92
115,1233262,563,213315.00,1
116,1233272,344,38235.00,91
117,1233282,673,224130.00,7
118,1233292,701,311115.00,78
119,1233302,572,136785.00,22
120,1233312,633,38355.00,67
121,1233322,206,95925.00,17
122,1233332,188,150705.00,45
123,1233342,604,380010.00,26
124,1233352,652,378000.00,22
125,1233362,356,443715.00,88
126,1233372,686,327120.00,51
127,1233382,514,311340.00,32
128,1233392,622,363600.00,47
129,1233402,568,312495.00,77
130,1233412,439,103650.00,90
131,1233422,602,258630.00,2
132,1233432,642,431775.00,46
133,1233442,595,270810.00,8
134,1233452,61,80370.00,60
135,1233462,365,236145.00,32
136,1233472,323,194610.00,8
137,1233482,127,264705.00,54
138,1233492,140,122580.00,85
139,1233502,380,154545.00,42
140,1233512,531,155835.00,61
141,1233522,48,382080.00,49
142,1233532,49,126105.00,75
143,1233542,598,76395.00,55
144,1233552,663,209850.00,31
145,1233562,682,44370.00,55
146,1233572,537,159120.00,83
147,1233582,167,61935.00,86
148,1233592,28,312675.00,81
149,1233602,494,40905.00,35
150,1233612,402,399165.00,34
151,1233622,107,382710.00,2
152,1233632,96,214470.00,25
153,1233642,553,129030.00,73
154,1233652,590,396450.00,10
155,1233662,515,43500.00,80
156,1233672,149,209580.00,34
157,1233682,434,272130.00,28
158,1233692,516,111225.00,55
159,1233702,493,83295.00,24
160,1233712,65,39210.00,93
161,1233722,606,112200.00,65
162,1233732,258,294240.00,73
163,1233742,668,438675.00,10
164,1233752,339,359250.00,30
165,1233762,347,15105.00,54
166,1233772,250,430740.00,97
167,1233782,164,98445.00,35
168,1233792,470,124230.00,61
169,1233802,630,92655.00,49
170,1233812,315,67455.00,39
171,1233822,477,412920.00,26
172,1233832,519,342720.00,36
173,1233842,369,166920.00,13
174,1233852,114,223170.00,48
175,1233862,93,334335.00,13
176,1233872,223,374610.00,26
177,1233882,570,293580.00,73
178,1233892,417,131310.00,11
179,1233902,211,234105.00,97
180,1233912,674,231420.00,59
181,1233922,401,242670.00,30
182,1233932,585,299880.00,11
183,1233942,255,357480.00,50
184,1233952,112,240840.00,3
185,1233962,386,303060.00,38
186,1233972,38,351225.00,36
187,1233982,385,220995.00,76
188,1233992,740,335985.00,78
189,1234002,671,81570.00,53
190,1234012,147,366915.00,43
191,1234022,187,349770.00,15
192,1234032,624,389955.00,37
193,1234042,490,119880.00,63
194,1234052,284,44340.00,62
195,1234062,587,368805.00,5
196,1234072,542,437160.00,92
197,1234082,650,319305.00,16
198,1234092,491,323880.00,87
199,1234102,98,241260.00,25
200,1234112,396,331320.00,80
201,1234122,241,193320.00,79
202,1234132,296,225480.00,75
203,1234142,148,324900.00,26
204,1234152,523,207375.00,72
205,1234162,614,434145.00,52
206,1234172,594,342135.00,6
207,1234182,334,434865.00,30
208,1234192,314,54315.00,16
209,1234202,728,80460.00,35
210,1234212,105,57285.00,60
211,1234222,177,161850.00,53
212,1234232,324,111480.00,86
213,1234242,354,110715.00,79
214,1234252,678,414435.00,43
215,1234262,208,240345.00,65
216,1234272,155,316440.00,49
217,1234282,146,206370.00,56
218,1234292,692,97335.00,6
219,1234302,216,56145.00,4
220,1234312,358,149430.00,33
221,1234322,394,322185.00,3
222,1234332,158,424545.00,89
223,1234342,7,81540.00,45
224,1234352,63,313125.00,80
225,1234362,485,359730.00,59
226,1234372,381,226485.00,6
227,1234382,413,134655.00,97
228,1234392,350,254460.00,17
229,1234402,483,433785.00,82
230,1234412,492,252960.00,97
231,1234422,690,280485.00,17
232,1234432,58,250125.00,47
233,1234442,360,424140.00,18
234,1234452,449,65235.00,74
235,1234462,69,367455.00,91
236,1234472,82,331095.00,71
237,1234482,621,100875.00,84
238,1234492,407,349035.00,1
239,1234502,410,54495.00,45
240,1234512,125,236145.00,48
241,1234522,696,392955.00,81
242,1234532,113,198795.00,85
243,1234542,111,77865.00,62
244,1234552,191,348405.00,61
245,1234562,377,439650.00,10
246,1234572,273,383550.00,66
247,1234582,90,147810.00,66
248,1234592,102,362085.00,68
249,1234602,623,197640.00,38
250,1234612,41,389130.00,16
251,1234622,679,112530.00,4
252,1234632,192,51270.00,9
253,1234642,660,278790.00,77
254,1234652,145,30090.00,86
255,1234662,589,417765.00,41
256,1234672,53,100440.00,41
257,1234682,702,188475.00,87
258,1234692,571,151545.00,61
259,1234702,600,50670.00,1
260,1234712,593,179805.00,95
261,1234722,20,121830.00,34
262,1234732,391,278445.00,65
263,1234742,342,239925.00,96
264,1234752,708,369825.00,28
265,1234762,653,120315.00,94
266,1234772,120,125280.00,35
267,1234782,616,60300.00,94
268,1234792,555,404685.00,17
269,1234802,687,368940.00,30
270,1234812,89,131640.00,88
271,1234822,341,397980.00,39
272,1234832,520,191520.00,7
273,1234842,512,202005.00,96
274,1234852,290,355740.00,10
275,1234862,406,135390.00,81
276,1234872,586,180120.00,4
277,1234882,245,210915.00,41
278,1234892,278,108420.00,58
279,1234902,88,65325.00,91
280,1234912,83,160485.00,3
281,1234922,304,417553.50,29
282,1234932,27,345559.50,29
283,1234942,727,315822.00,30
284,1234952,513,529561.50,91
285,1234962,31,192816.00,15
286,1234972,629,578643.00,93
287,1234982,582,560020.50,12
288,1234992,81,563569.50,88
289,1235002,302,495573.00,29
290,1235012,588,72247.50,60
291,1235022,507,138684.00,43
292,1235032,222,567547.50,27
293,1235042,117,461779.50,8
294,1235052,559,272629.50,7
295,1235062,227,414765.00,51
296,1235072,318,190846.50,34
297,1235082,715,341289.00,53
298,1235092,106,314632.50,74
299,1235102,169,471159.00,95
300,1235112,224,575757.00,9
301,1235122,419,233025.00,66
302,1235132,142,195468.00,66
303,1235142,634,356596.50,41
304,1235152,141,311649.00,53
305,1235162,70,406770.00,47
306,1235172,194,478725.00,93
307,1235182,597,172692.00,64
308,1235192,699,550758.00,59
309,1235202,573,575542.50,101
310,1235212,175,404976.00,47
311,1235222,16,230314.50,38
312,1235232,204,53235.00,53
313,1235242,144,114309.00,32
314,1235252,316,499648.50,26
315,1235262,357,297531.00,103
316,1235272,367,509164.50,74
317,1235282,94,321652.50,92
318,1235292,108,280234.50,100
319,1235302,610,495612.00,90
320,1235312,723,385866.00,29
321,1235322,161,496177.50,20
322,1235332,30,447349.50,66
323,1235342,156,540832.50,27
324,1235352,143,558577.50,67
325,1235362,198,362076.00,47
326,1235372,23,200635.50,101
327,1235382,387,178152.00,49
328,1235392,495,328204.50,30
329,1235402,649,416734.50,101
330,1235412,234,298467.00,82
331,1235422,97,567898.50,44
332,1235432,232,378553.50,75
333,1235442,64,356655.00,77
334,1235452,165,183514.50,36
335,1235462,425,429799.50,11
336,1235472,359,238582.50,16
337,1235482,661,422740.50,49
338,1235492,95,136324.50,62
339,1235502,270,31570.50,85
340,1235512,313,491556.00,57
341,1235522,259,545181.00,85
342,1235532,460,81198.00,59
343,1235542,373,203268.00,103
344,1235552,584,339144.00,17
345,1235562,452,163878.00,11
346,1235572,680,445126.50,38
347,1235582,502,67840.50,80
348,1235592,42,135973.50,62
349,1235602,351,489879.00,48
350,1235612,346,59416.50,25
351,1235622,287,316524.00,97
352,1235632,447,22522.50,92
353,1235642,643,223275.00,78
354,1235652,384,438204.00,28
355,1235662,580,206466.00,23
356,1235672,717,65364.00,55
357,1235682,201,579832.50,82
358,1235692,529,130962.00,15
359,1235702,382,209059.50,95
360,1235712,325,386158.50,15
361,1235722,233,439569.00,49
362,1235732,25,277309.50,64
363,1235742,635,49705.50,104
364,1235752,676,291369.00,19
365,1235762,246,404449.50,94
366,1235772,363,177820.50,11
367,1235782,713,49861.50,92
368,1235792,220,124702.50,60
369,1235802,694,195916.50,35
370,1235812,698,494013.00,78
371,1235822,9,491400.00,93
372,1235832,55,576829.50,13
373,1235842,675,425256.00,32
374,1235852,474,404742.00,99
375,1235862,5,472680.00,29
376,1235872,131,406243.50,62
377,1235882,329,134745.00,80
378,1235892,189,336219.00,69
379,1235902,545,561307.50,46
380,1235912,266,352053.00,72
381,1235922,475,104481.00,97
382,1235932,432,306988.50,83
383,1235942,625,252993.00,23
384,1235952,422,344116.50,26
385,1235962,306,159354.00,69
386,1235972,411,200908.50,31
387,1235982,437,202585.50,96
388,1235992,286,496704.00,87
389,1236002,468,163936.50,91
390,1236012,128,99313.50,98
391,1236022,43,272805.00,13
392,1236032,441,57681.00,71
393,1236042,471,206856.00,13
394,1236052,300,80515.50,55
395,1236062,562,406477.50,82
396,1236072,221,53176.50,97
397,1236082,457,518914.50,87
398,1236092,205,497523.00,51
399,1236102,664,278811.00,30
400,1236112,72,167739.00,80
401,1236122,459,515385.00,22
402,1236132,539,56550.00,67
403,1236142,648,272454.00,37
404,1236152,710,353769.00,99
405,1236162,59,144592.50,43
406,1236172,544,108283.50,79
407,1236182,693,50973.00,84
408,1236192,86,145860.00,94
409,1236202,574,382512.00,70
410,1236212,724,570277.50,27
411,1236222,389,467025.00,86
412,1236232,741,19636.50,87
413,1236242,3,559962.00,73
414,1236252,398,127978.50,101
415,1236262,37,161499.00,10
416,1236272,85,120451.50,100
417,1236282,443,87691.50,16
418,1236292,378,536796.00,87
419,1236302,332,445536.00,31
420,1236312,327,216996.00,76
421,1236322,371,290121.00,26
422,1236332,101,434635.50,54
423,1236342,718,486993.00,35
424,1236352,527,381654.00,31
425,1236362,162,170703.00,97
426,1236372,328,304336.50,60
427,1236382,549,300846.00,41
428,1236392,496,315471.00,56
429,1236402,200,389844.00,86
430,1236412,451,464724.00,99
431,1236422,301,313092.00,11
432,1236432,703,393978.00,55
433,1236442,550,456592.50,17
434,1236452,18,287293.50,69
435,1236462,478,436780.50,41
436,1236472,448,106041.00,17
437,1236482,489,476989.50,63
438,1236492,170,454701.00,94
439,1236502,445,506941.50,51
440,1236512,126,155844.00,70
441,1236522,303,57642.00,58
442,1236532,737,479446.50,84
443,1236542,631,568308.00,64
444,1236552,556,415096.50,40
445,1236562,733,421044.00,64
446,1236572,669,313638.00,92
447,1236582,436,430716.00,95
448,1236592,644,251316.00,90
449,1236602,543,293124.00,44
450,1236612,35,422370.00,43
451,1236622,415,269587.50,11
452,1236632,427,564388.50,34
453,1236642,240,444775.50,82
454,1236652,137,565324.50,19
455,1236662,14,70609.50,89
456,1236672,116,104598.00,43
457,1236682,317,74470.50,37
458,1236692,364,210405.00,64
459,1236702,636,144924.00,33
460,1236712,283,143929.50,102
461,1236722,264,538765.50,74
462,1236732,152,312448.50,82
463,1236742,719,411372.00,19
464,1236752,40,268281.00,39
465,1236762,2,126535.50,63
466,1236772,130,72988.50,106
467,1236782,684,194259.00,44
468,1236792,423,418840.50,70
469,1236802,180,551908.50,58
470,1236812,336,106002.00,48
471,1236822,738,407062.50,35
472,1236832,218,467649.00,45
473,1236842,212,294430.50,22
474,1236852,525,175051.50,57
475,1236862,213,330798.00,22
476,1236872,707,563920.50,35
477,1236882,244,328848.00,82
478,1236892,670,364630.50,20
479,1236902,118,325162.50,106
480,1236912,168,551382.00,68
481,1236922,214,84805.50,39
482,1236932,551,477691.50,20
483,1236942,645,430423.50,59
484,1236952,705,131137.50,12
485,1236962,611,453745.50,47
486,1236972,135,70843.50,45
487,1236982,497,306988.50,85
488,1236992,541,510841.50,87
489,1237002,370,258433.50,62
490,1237012,17,101224.50,52
491,1237022,712,452926.50,24
492,1237032,548,571545.00,46
493,1237042,174,498615.00,72
494,1237052,288,192153.00,71
495,1237062,735,470710.50,14
496,1237072,473,256932.00,101
497,1237082,420,505869.00,25
498,1237092,487,146289.00,96
499,1237102,1,66651.00,34
500,1237112,577,362427.00,89
501,1237122,299,39117.00,88
502,1237132,695,543094.50,84
503,1237142,15,130572.00,35
504,1237152,150,245017.50,81
505,1237162,242,197008.50,61
506,1237172,546,65871.00,15
507,1237182,426,233746.50,39
508,1237192,178,158379.00,25
509,1237202,60,361978.50,44
510,1237212,261,311902.50,69
511,1237222,538,480772.50,62
512,1237232,626,156409.50,95
513,1237242,181,162864.00,88
514,1237252,184,78390.00,52
515,1237262,219,526090.50,74
516,1237272,498,479622.00,58
517,1237282,641,171132.00,65
518,1237292,576,517374.00,15
519,1237302,239,248976.00,13
520,1237312,52,262606.50,42
521,1237322,215,462462.00,12
522,1237332,34,176007.00,98
523,1237342,536,234156.00,54
524,1237352,73,274189.50,89
525,1237362,265,140946.00,68
526,1237372,627,84922.50,15
527,1237382,238,208630.50,106
528,1237392,199,32625.00,26
529,1237402,256,157185.00,91
530,1237412,179,204097.50,106
531,1237422,80,83418.75,26
532,1237432,435,62471.25,56
533,1237442,658,29407.50,27
534,1237452,275,84150.00,83
535,1237462,567,220680.00,100
536,1237472,662,329006.25,80
537,1237482,560,269437.50,93
538,1237492,508,11328.75,10
539,1237502,632,323055.00,54
540,1237512,455,73833.75,57
541,1237522,540,93172.50,90
542,1237532,734,69491.25,94
543,1237542,612,50591.25,71
544,1237552,666,309690.00,70
545,1237562,79,257040.00,19
546,1237572,236,125190.00,75
547,1237582,103,167377.50,75
548,1237592,414,250751.25,77
549,1237602,639,280957.50,47
550,1237612,254,220185.00,25
551,1237622,12,98482.50,13
552,1237632,4,175578.75,18
553,1237642,119,173565.00,86
554,1237652,454,182002.50,95
555,1237662,110,224910.00,50
556,1237672,217,268110.00,50
557,1237682,731,180630.00,96
558,1237692,305,227295.00,70
559,1237702,583,263418.75,10
560,1237712,50,165746.25,104
561,1237722,501,251988.75,43
562,1237732,321,61177.50,74
563,1237742,706,275186.25,105
564,1237752,13,262327.50,37
565,1237762,685,292466.25,103
566,1237772,8,89910.00,44
567,1237782,121,33255.00,103
568,1237792,481,276603.75,26
569,1237802,736,327870.00,39
570,1237812,173,239478.75,97
571,1237822,530,242910.00,48
572,1237832,412,180945.00,16
573,1237842,605,248490.00,105
574,1237852,722,144990.00,19
575,1237862,526,169110.00,90
576,1237872,311,243675.00,13
577,1237882,210,155531.25,50
578,1237892,637,325608.75,67
579,1237902,291,256601.25,100
580,1237912,659,326148.75,12
581,1237922,349,40736.25,38
582,1237932,262,60345.00,38
583,1237942,337,42963.75,39
584,1237952,33,121387.50,100
585,1237962,534,83610.00,24
586,1237972,607,83036.25,102
587,1237982,129,310826.25,21
588,1237992,405,180258.75,97
589,1238002,716,237330.00,38
590,1238012,528,154777.50,69
591,1238022,330,73001.25,52
592,1238032,667,42108.75,36
593,1238042,235,112072.50,17
594,1238052,197,241638.75,16
595,1238062,472,318408.75,60
596,1238072,297,61155.00,43
597,1238082,647,234843.75,62
598,1238092,225,269797.50,83
599,1238102,253,169863.75,104
600,1238112,603,100991.25,18
601,1238122,509,190845.00,50
602,1238132,721,325338.75,50
603,1238142,193,189720.00,25
604,1238152,564,210363.75,37
605,1238162,511,187593.75,31
606,1238172,92,318105.00,77
607,1238182,486,48926.25,48
608,1238192,333,275591.25,43
609,1238202,547,248321.25,85
610,1238212,620,75656.25,31
611,1238222,709,261776.25,22
612,1238232,458,40871.25,37
613,1238242,466,177108.75,16
614,1238252,479,294716.25,10
615,1238262,269,149096.25,87
616,1238272,375,58398.75,58
617,1238282,592,261303.75,76
618,1238292,190,329737.50,84
619,1238302,390,287662.50,74
620,1238312,506,110857.50,13
621,1238322,575,271563.75,4
622,1238332,383,148230.00,50
623,1238342,462,291847.50,11
624,1238352,352,84397.50,51
625,1238362,484,38452.50,31
626,1238372,186,209092.50,85
627,1238382,628,22567.50,33
628,1238392,395,313323.75,14
629,1238402,638,75330.00,85
630,1238412,730,141356.25,66
631,1238422,524,113658.75,28
632,1238432,39,38002.50,59
633,1238442,237,134853.75,61
634,1238452,444,91372.50,20
635,1238462,320,208833.75,1
636,1238472,615,179943.75,5
637,1238482,558,277368.75,33
638,1238492,618,90236.25,46
639,1238502,87,93960.00,69
640,1238512,285,45225.00,41
641,1238522,171,303513.75,69
642,1238532,480,276705.00,43
643,1238542,36,98730.00,87
644,1238552,464,298485.00,1
645,1238562,310,143640.00,1
646,1238572,608,151503.75,22
647,1238582,271,266805.00,64
648,1238592,532,101542.50,46
649,1238602,243,135090.00,32
650,1238612,430,158186.25,9
651,1238622,298,81315.00,81
652,1238632,579,48993.75,76
653,1238642,613,120363.75,62
654,1238652,372,313165.13,12
655,1238662,456,259169.63,7
656,1238672,138,236866.50,39
657,1238682,136,397171.13,66
658,1238692,704,144612.00,2
659,1238702,122,433982.25,79
660,1238712,720,420015.38,2
661,1238722,46,422677.13,33
662,1238732,517,371679.75,48
663,1238742,438,54185.63,88
664,1238752,57,104013.00,3
665,1238762,335,425660.63,78
666,1238772,379,346334.63,5
667,1238782,348,204472.13,76
668,1238792,440,311073.75,44
669,1238802,732,143134.88,19
670,1238812,209,255966.75,62
671,1238822,109,235974.38,77
672,1238832,21,353369.25,2
673,1238842,640,431817.75,16
674,1238852,249,174768.75,83
675,1238862,729,146601.00,13
676,1238872,711,267447.38,46
677,1238882,581,233736.75,64
678,1238892,725,305077.50,53
679,1238902,293,359043.75,30
680,1238912,229,129519.00,56
681,1238922,91,413068.50,81
682,1238932,338,431656.88,67
683,1238942,62,303732.00,7
684,1238952,691,172735.88,10
685,1238962,45,39926.25,53
686,1238972,282,85731.75,15
687,1238982,292,374736.38,80
688,1238992,503,223148.25,71
689,1239002,11,381873.38,75
690,1239012,322,241239.38,82
691,1239022,307,210175.88,3
692,1239032,251,371709.00,55
693,1239042,123,289399.50,3
694,1239052,739,372133.13,39
695,1239062,247,335512.13,66
696,1239072,272,405624.38,81
697,1239082,617,418933.13,71
698,1239092,429,271557.00,35
699,1239102,463,150476.63,14
700,1239112,619,133614.00,64
701,1239122,500,246153.38,6
702,1239132,482,312550.88,51
703,1239142,465,223850.25,21
704,1239152,280,425923.88,83
705,1239162,248,283915.13,27
706,1239172,6,267491.25,63
707,1239182,561,137635.88,68
708,1239192,182,322349.63,78
709,1239202,231,178936.88,54
710,1239212,294,317055.38,11
711,1239222,319,102243.38,70
712,1239232,22,23677.88,71
713,1239242,268,368667.00,57
714,1239252,672,408885.75,85
715,1239262,104,60898.50,6
716,1239272,289,152451.00,84
717,1239282,183,254358.00,2
718,1239292,309,122908.50,71
719,1239302,139,333844.88,15
720,1239312,591,50880.38,60
721,1239322,267,101980.13,10
722,1239332,651,367409.25,38
723,1239342,202,44562.38,19
724,1239352,726,237393.00,15
725,1239362,416,16891.88,81
726,1239372,421,167456.25,44
727,1239382,409,328653.00,25
728,1239392,172,154849.50,40
729,1239402,77,49023.00,70
730,1239412,657,434874.38,83
731,1239422,10,98221.50,5
732,1239432,196,156794.63,39
733,1239442,431,289618.88,1
734,1239452,499,329676.75,53
735,1239462,29,207982.13,25
736,1239472,469,37279.13,1
737,1239482,207,218526.75,47
738,1239492,100,303337.13,78
739,1239502,374,133365.38,35
740,1239512,343,37396.13,54
741,1239522,51,93526.88,42